evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P003_0011,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO01,reactor_process_gas,P003_FE_MO01_COOL,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Reactor cooled in helium.,cooling; He cooling atmosphere,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0012,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO05,reactor_process_gas,P003_FE_MO05_HEAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst was heated to 850 C at 10 C/min in helium.,heating; 850; He heating atmosphere; Fresh catalyst heated to growth temperature in He.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0013,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO05,reactor_process_gas,P003_FE_MO05_GROWTH,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Pure CH4 at 20 mL/min was introduced for 30 min at 850 C.,growth; 850; pure CH4; Methane catalytic pyrolysis; 30 min product values.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0014,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO05,reactor_process_gas,P003_FE_MO05_COOL,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Reactor cooled in helium.,cooling; He cooling atmosphere,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0015,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO1,reactor_process_gas,P003_FE_MO1_HEAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst was heated to 850 C at 10 C/min in helium.,heating; 850; He heating atmosphere; Fresh catalyst heated to growth temperature in He.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0016,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO1,reactor_process_gas,P003_FE_MO1_GROWTH,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Pure CH4 at 20 mL/min was introduced for 30 min at 850 C.,growth; 850; pure CH4; Methane catalytic pyrolysis; 30 min product values.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0017,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO1,reactor_process_gas,P003_FE_MO1_COOL,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Reactor cooled in helium.,cooling; He cooling atmosphere,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0018,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_MO,reactor_process_gas,P003_MO_HEAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst was heated to 850 C at 10 C/min in helium.,heating; 850; He heating atmosphere; Fresh catalyst heated to growth temperature in He.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0019,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_MO,reactor_process_gas,P003_MO_GROWTH,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Pure CH4 at 20 mL/min was introduced for 30 min at 850 C.,growth; 850; pure CH4; Methane catalytic pyrolysis; 30 min product values.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0020,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_MO,reactor_process_gas,P003_MO_COOL,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Reactor cooled in helium.,cooling; He cooling atmosphere,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0021,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE,yield_quality,P003_FE_PRODUCT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"pp.4-5, section 3.2 and Fig. 2",section 3.2; Fig. 2,"0.16 g carbon/g catalyst in 30 min; TEM directly identified SWCNTs and DWCNTs; entangled CNTs; inner diameter 3-10 nm, mean 6.2 nm.",0.16 g carbon/g catalyst in 30 min; mixed SWCNT/DWCNT; randomly entangled,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0022,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO01,yield_quality,P003_FE_MO01_PRODUCT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"pp.4-5, section 3.2 and Fig. 2",section 3.2; Fig. 2,"0.40 g carbon/g catalyst in 30 min; TEM showed a large number of SWCNTs; inner diameter 3-15 nm, mean 7.9 nm.",0.40 g carbon/g catalyst in 30 min; SWCNT; SWCNTs erect or lying on catalyst surface,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0023,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO05,yield_quality,P003_FE_MO05_PRODUCT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"pp.4-5, section 3.2 and Fig. 2",section 3.2; Fig. 2,approximately 0.88 g carbon/g catalyst in 30 min (read from Fig. 2f); TEM showed MWCNT-dominated product; mean inner diameter 13.6 nm.,approximately 0.88 g carbon/g catalyst in 30 min (read from Fig. 2f); MWCNT; multi-walled nanotubes,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0024,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO1,yield_quality,P003_FE_MO1_PRODUCT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"pp.4-5, section 3.2 and Fig. 2",section 3.2; Fig. 2,1.03 g carbon/g catalyst in 30 min; TEM showed MWCNT-dominated product; mean inner diameter 15.7 nm.,1.03 g carbon/g catalyst in 30 min; MWCNT; multi-walled nanotubes,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0025,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_MO,yield_quality,P003_MO_PRODUCT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"pp.4-5, section 3.2 and Fig. 2",section 3.2; Fig. 2,0.08 g carbon/g catalyst in 30 min; TEM showed graphitic layers/graphene and no evidence of CNT formation.,0.08 g carbon/g catalyst in 30 min; no_CNT_graphite; graphite flakes,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0026,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE,cost_scale_review,P003_FE,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst in a horizontal quartz tube; no cost or scale calculation reported.,laboratory quartz-tube experiment; actual_0.150g_lab_batch; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0027,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO01,cost_scale_review,P003_FE_MO01,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst in a horizontal quartz tube; no cost or scale calculation reported.,laboratory quartz-tube experiment; actual_0.150g_lab_batch; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0028,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO05,cost_scale_review,P003_FE_MO05,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst in a horizontal quartz tube; no cost or scale calculation reported.,laboratory quartz-tube experiment; actual_0.150g_lab_batch; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0029,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO1,cost_scale_review,P003_FE_MO1,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst in a horizontal quartz tube; no cost or scale calculation reported.,laboratory quartz-tube experiment; actual_0.150g_lab_batch; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0030,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_MO,cost_scale_review,P003_MO,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst in a horizontal quartz tube; no cost or scale calculation reported.,laboratory quartz-tube experiment; actual_0.150g_lab_batch; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0031,P003_Pan_2025_FeMo_MgO_Methane_CNT,not_applicable,source_master,P003_Pan_2025_FeMo_MgO_Methane_CNT,notes,source_observation,reported,not_separately_reported,"pp.6, section 3.4",section 3.4,Mo addition progressively increased carbon yield and significantly enhanced graphitic carbon selectivity.,Mo promotes carbon diffusion/graphitization through carbide-related Fe-Mo interactions.,high,not_applicable,tags=Fe-Mo;methane_pyrolysis;mechanism; Mechanistic rationale for promoter selection.; legacy_observation_id=OBS_P003_001
EVID_P003_0032,P003_Pan_2025_FeMo_MgO_Methane_CNT,not_applicable,source_master,P003_Pan_2025_FeMo_MgO_Methane_CNT,notes,source_observation,reported,not_separately_reported,"p.6, section 3.4",section 3.4,the dominant CNT structure shifts from single- and double-walled to multi-walled,Increasing Mo coarsened particles and shifted SW/DW products toward MWCNTs.,high,ISS_P003_001,tags=Mo_loading;CNT_type;particle_size; Shows yield/selectivity tradeoff and prevents treating all Fe-Mo products as one CNT class.; legacy_observation_id=OBS_P003_002
EVID_P003_0033,P003_Pan_2025_FeMo_MgO_Methane_CNT,not_applicable,source_master,P003_Pan_2025_FeMo_MgO_Methane_CNT,notes,source_observation,reported,not_separately_reported,"p.4, section 3.2",section 3.2,no evidence of CNT formation was observed,Mo/MgO alone produced graphite rather than CNTs.,high,not_applicable,tags=Mo/MgO;no_CNT;graphite; Negative control establishes Fe as essential for CNT nucleation.; legacy_observation_id=OBS_P003_003
EVID_P003_0034,P003_Pan_2025_FeMo_MgO_Methane_CNT,not_applicable,source_master,P003_Pan_2025_FeMo_MgO_Methane_CNT,notes,source_observation,reported,not_separately_reported,"p.6, section 3.4; Fig. S8",section 3.4; Fig. S8,Fe-1Mo demonstrated sustained activity,Fe-1Mo retained activity beyond 1 h whereas lower-Mo catalysts plateaued within 30 min.,high,not_applicable,"tags=durability;Fe-1Mo; Useful durability signal, but demonstrated only in a 150 mg lab batch.; legacy_observation_id=OBS_P003_004"
EVID_P003_0035,P003_Pan_2025_FeMo_MgO_Methane_CNT,not_applicable,source_master,P003_Pan_2025_FeMo_MgO_Methane_CNT,notes,source_observation,reported,not_separately_reported,"p.4, Fig. 2f",Fig. 2f,carbon productivity is illustrated in Fig. 2f,Fe-0.5Mo carbon productivity is only graph-readable in the main paper.,medium,ISS_P003_002,tags=yield;figure_reading; Approximate graph reading must be human-checked against source data/supplement.; legacy_observation_id=OBS_P003_005
